Дата,Время,Функция,Username,Status_code
2025-10-31,11:31:33,check_session,admin,?
2025-10-31,11:31:33,get_register_page,admin,200
2025-10-31,11:31:46,check_session,admin,?
2025-10-31,11:31:46,register,admin,200
2025-10-31,11:32:03,check_session,admin,?
2025-10-31,11:32:03,login,admin,302
2025-10-31,11:32:03,check_session,choto,?
2025-10-31,11:32:03,get_home_page,choto,200
2025-10-31,11:32:08,check_session,choto,?
2025-10-31,11:32:08,get_admin_page,choto,200
2025-10-31,11:32:10,check_session,choto,?
2025-10-31,11:32:10,get_home_page,choto,200
2025-10-31,11:32:14,check_session,choto,?
2025-10-31,11:32:14,logout,choto,200
2025-10-31,11:35:01,check_session,choto,
2025-10-31,11:35:01,get_register_page,choto,200
2025-10-31,11:35:16,check_session,choto,
2025-10-31,11:35:16,get_login_page,choto,200
2025-10-31,11:35:18,check_session,choto,
2025-10-31,11:35:18,get_register_page,choto,200
